CD40	40.28658
AKT1	35.627697
FBXO11	30.966188
ABHD4	27.96334
DHDDS	27.603092
CHEK1	27.293488
CNPY3	26.753424
USP6NL	25.489574
MAPK13	24.227526
COG7	22.63101
PIGB	22.281786
KDM3A	22.138824
PCNA	21.912052
GNB5	21.71968
RALGDS	21.653246
RAB31	21.337551
CCNB1	21.291758
E2F2	21.286129
FKBP14	20.816725
CAPN1	20.810486
NUSAP1	20.465792
CXCR4	20.050522
MLEC	20.040625
PLS1	19.83483
NT5DC2	19.7514
MYBL2	19.743027
HMGCR	19.56044
CCDC86	19.515564
SNX6	19.178278
NSDHL	18.773695
LBR	18.649603
CHMP6	18.39643
TRIB3	18.271826
POLR2I	18.249298
DHRS7	18.23093
KCTD5	18.057285
CTTN	18.013308
CHEK2	17.874062
PFKL	17.520735
CBR3	17.387476
S100A13	17.325956
TGFBR2	16.757154
SOCS2	16.55503
ZDHHC6	16.535917
APPBP2	16.509918
NARFL	16.101437
ACOT9	15.9838915
WIPF2	15.7331295
LSM5	15.669281
MAPKAPK2	15.466665
