MAPK3	5595	PARP1	142	1
PARP1	142	WEE1	7465	1
BCL2L1	598	MCL1	4170	1
HSP90AA1	3320	PARP1	142	1
BRCA2	675	WEE1	7465	1
BCL2L1	598	MAPK3	5595	1
MCL1	4170	PARP1	142	1
BRCA2	675	PARP1	142	1
BRCA1	672	PARP1	142	1
BCL2L1	598	WEE1	7465	1
BCL2L1	598	PARP1	142	1
MTOR	2475	PARP1	142	1
MAPK3	5595	WEE1	7465	1
MAP2K1	5604	PARP1	142	1
BRCA2	675	MAPK3	5595	1
MAPK3	5595	MCL1	4170	1
HSP90AA1	3320	WEE1	7465	1
HSP90AA1	3320	MTOR	2475	1
MAP2K2	5605	UBC	7316	0
CHEK2	11200	MAP2K2	5605	0
CHEK1	1111	MAP2K2	5605	0
EEF2	1938	MAP2K2	5605	0
BRCA1	672	CHEK2	11200	0
AKT1	207	BRCA1	672	0
BCL2	596	BRCA1	672	0
BRCA1	672	CHEK1	1111	0
BRCA1	672	EEF2	1938	0
CHEK2	11200	PARP2	10038	0
CHEK1	1111	PARP2	10038	0
EEF2	1938	PARP2	10038	0
BRCA2	675	CHEK2	11200	0
BRCA2	675	EEF2	1938	0
CHEK1	1111	UBC	7316	0
CHEK1	1111	CHEK2	11200	0
AKT1	207	CHEK1	1111	0
CHEK1	1111	IMPDH1	3614	0
BCL2	596	CHEK1	1111	0
CHEK1	1111	EEF2	1938	0
CHEK1	1111	MTOR	2475	0
AKT2	208	CHEK1	1111	0
CHEK1	1111	UBB	7314	0
BCL2L10	10017	CHEK1	1111	0
BCL2L2	599	CHEK1	1111	0
AKT3	10000	CHEK1	1111	0
BCL2A1	597	CHEK1	1111	0
CHEK1	1111	MAPK1	5594	0
AKT2	208	CHEK2	11200	0
AKT2	208	EEF2	1938	0
BCL2L2	599	CHEK2	11200	0
AKT1	207	BCL2L2	599	0
BCL2L2	599	EEF2	1938	0
CHEK2	11200	HSP90AA1	3320	0
EEF2	1938	HSP90AA1	3320	0
CHEK2	11200	PARP1	142	0
EEF2	1938	PARP1	142	0
CHEK2	11200	MCL1	4170	0
EEF2	1938	MCL1	4170	0
CHEK2	11200	UBC	7316	0
AKT1	207	CHEK2	11200	0
CHEK2	11200	IMPDH1	3614	0
BCL2	596	CHEK2	11200	0
CHEK2	11200	WEE1	7465	0
BCL2L1	598	CHEK2	11200	0
CHEK2	11200	EEF2	1938	0
CHEK2	11200	MAPK3	5595	0
CHEK2	11200	MTOR	2475	0
CHEK2	11200	MAP2K1	5604	0
CHEK2	11200	UBB	7314	0
BCL2L10	10017	CHEK2	11200	0
AKT3	10000	CHEK2	11200	0
BCL2A1	597	CHEK2	11200	0
CHEK2	11200	MAPK1	5594	0
IMPDH1	3614	UBC	7316	0
EEF2	1938	IMPDH1	3614	0
EEF2	1938	MAPK3	5595	0
EEF2	1938	MAPK1	5594	0
AKT3	10000	EEF2	1938	0
EEF2	1938	UBB	7314	0
EEF2	1938	MTOR	2475	0
AKT1	207	BCL2L1	598	0
BCL2L1	598	EEF2	1938	0
EEF2	1938	MAP2K1	5604	0
EEF2	1938	WEE1	7465	0
AKT1	207	UBC	7316	0
AKT1	207	EEF2	1938	0
BCL2	596	EEF2	1938	0
BCL2A1	597	EEF2	1938	0
BCL2L10	10017	UBC	7316	0
BCL2L10	10017	EEF2	1938	0
EEF2	1938	UBC	7316	0
